load_id,origin,destination,pickup_datetime,delivery_datetime,equipment_type,loadboard_rate,notes,weight,commodity_type,num_of_pieces,miles,dimensions
LD-10001,"Chicago, IL","Dallas, TX",2026-06-05T09:00:00Z,2026-06-06T18:00:00Z,"Dry Van",2200,"Dock pickup. No hazmat.",18000,"Retail Goods",24,925,"48x40 pallets"
LD-10002,"Joliet, IL","Fort Worth, TX",2026-06-05T12:00:00Z,2026-06-06T20:00:00Z,"Dry Van",2100,"FCFS pickup. Lumper may apply.",22000,"Consumer Packaged Goods",26,940,"26 pallets"
LD-10003,"Gary, IN","Houston, TX",2026-06-06T08:30:00Z,2026-06-07T22:00:00Z,"Dry Van",2450,"Drop trailer preferred.",30000,"Paper Products",30,1080,"30 pallets"
LD-10004,"Atlanta, GA","Orlando, FL",2026-06-05T10:00:00Z,2026-06-05T22:00:00Z,"Reefer",1650,"Maintain 36F throughout transit.",12000,"Produce",18,440,"18 pallets"
LD-10005,"Savannah, GA","Miami, FL",2026-06-06T14:00:00Z,2026-06-07T08:00:00Z,"Reefer",1950,"Frozen product. Continuous temp monitoring required.",16000,"Frozen Foods",20,485,"20 pallets"
LD-10006,"Charlotte, NC","Jacksonville, FL",2026-06-07T07:00:00Z,2026-06-07T19:00:00Z,"Dry Van",1500,"Live load and live unload.",14000,"Home Goods",22,400,"22 pallets"
LD-10007,"Newark, NJ","Columbus, OH",2026-06-05T13:00:00Z,2026-06-06T05:00:00Z,"Dry Van",1700,"Appointment pickup required.",20000,"Electronics",22,535,"22 pallets"
LD-10008,"Allentown, PA","Indianapolis, IN",2026-06-06T09:30:00Z,2026-06-07T01:00:00Z,"Dry Van",1800,"No driver assist.",24000,"Packaging Materials",28,620,"28 pallets"
LD-10009,"Harrisburg, PA","Louisville, KY",2026-06-07T11:00:00Z,2026-06-07T23:30:00Z,"Dry Van",1600,"Must check in 30 mins before appointment.",21000,"Auto Parts",24,540,"24 pallets"
LD-10010,"Phoenix, AZ","Los Angeles, CA",2026-06-05T15:00:00Z,2026-06-06T01:00:00Z,"Dry Van",1400,"Team service not required.",10000,"Apparel",16,375,"16 pallets"
LD-10011,"Ontario, CA","Las Vegas, NV",2026-06-06T08:00:00Z,2026-06-06T16:00:00Z,"Dry Van",1100,"Same-day delivery preferred.",9000,"Beverages",14,235,"14 pallets"
LD-10012,"Stockton, CA","Phoenix, AZ",2026-06-07T06:00:00Z,2026-06-07T23:00:00Z,"Flatbed",2300,"Tarps required.",28000,"Construction Materials",12,760,"12 bundles"
LD-10013,"Kansas City, MO","Denver, CO",2026-06-05T07:30:00Z,2026-06-06T00:30:00Z,"Dry Van",1750,"Pickup from distribution center.",19000,"Retail Goods",20,605,"20 pallets"
LD-10014,"St. Louis, MO","Nashville, TN",2026-06-06T10:30:00Z,2026-06-06T22:30:00Z,"Dry Van",1350,"No overnight parking on site.",15000,"Food Packaging",18,310,"18 pallets"
LD-10015,"Memphis, TN","Little Rock, AR",2026-06-07T09:00:00Z,2026-06-07T15:00:00Z,"Power Only",900,"Trailer preloaded and ready.",0,"General Freight",0,140,"N/A"
LD-10016,"Fresno, CA","Seattle, WA",2026-06-05T05:00:00Z,2026-06-06T23:00:00Z,"Reefer",2900,"Keep at 34F. Produce load.",26000,"Produce",24,890,"24 pallets"
LD-10017,"Yakima, WA","Boise, ID",2026-06-06T06:30:00Z,2026-06-06T18:30:00Z,"Reefer",1450,"Chilled apples. Temp-sensitive.",18000,"Fresh Fruit",20,285,"20 pallets"
LD-10018,"Tulsa, OK","El Paso, TX",2026-06-07T08:00:00Z,2026-06-08T00:00:00Z,"Flatbed",2500,"Straps and edge protection required.",32000,"Steel Coils",8,725,"8 coils"
LD-10019,"Birmingham, AL","Charlotte, NC",2026-06-05T11:00:00Z,2026-06-06T02:00:00Z,"Flatbed",1700,"Tarping not required.",22000,"Lumber",16,390,"16 bundles"
LD-10020,"Laredo, TX","San Antonio, TX",2026-06-06T13:00:00Z,2026-06-06T18:00:00Z,"Power Only",800,"Short haul. Quick turn.",0,"General Freight",0,160,"N/A"
