load_id,origin,destination,pickup_datetime,delivery_datetime,equipment_type,loadboard_rate,notes,weight,commodity_type,num_of_pieces,miles,dimensions
1,Dallas TX,Atlanta GA,2025-06-16 06:00,2025-06-17 18:00,Dry Van,2450.00,No-touch freight,42000,Consumer Electronics,24,780,
2,Los Angeles CA,Dallas TX,2025-06-16 08:00,2025-06-18 08:00,Dry Van,3200.00,,38000,Retail Goods,30,1435,
3,Chicago IL,New York NY,2025-06-16 07:00,2025-06-17 12:00,Reefer,2800.00,Temperature 34F,41000,Produce,20,790,
4,Houston TX,Atlanta GA,2025-06-16 10:00,2025-06-17 14:00,Flatbed,2100.00,Tarping required,44000,Steel Coils,6,790,48x96
5,Atlanta GA,Miami FL,2025-06-16 12:00,2025-06-17 08:00,Dry Van,1450.00,,36000,Beverages,28,660,
6,Savannah GA,Atlanta GA,2025-06-16 14:00,2025-06-16 20:00,Dry Van,650.00,Port container relay,43000,Imported Furniture,18,250,
7,Dallas TX,Chicago IL,2025-06-17 06:00,2025-06-18 10:00,Reefer,2600.00,Temperature 0F,39000,Frozen Meat,22,920,
8,Laredo TX,Dallas TX,2025-06-17 05:00,2025-06-17 14:00,Dry Van,1100.00,Cross-border shipment,40000,Auto Parts,32,440,
9,Chicago IL,Atlanta GA,2025-06-17 08:00,2025-06-18 12:00,Dry Van,1950.00,,37000,Paper Products,26,720,
10,Los Angeles CA,Phoenix AZ,2025-06-17 07:00,2025-06-17 16:00,Flatbed,950.00,Oversized permit needed,48000,Lumber,12,370,60x120
11,Memphis TN,Dallas TX,2025-06-17 09:00,2025-06-18 06:00,Dry Van,1600.00,,35000,Retail Distribution,24,450,
12,Seattle WA,Los Angeles CA,2025-06-17 06:00,2025-06-18 18:00,Reefer,2900.00,Temperature 38F,40000,Seafood,16,1135,
13,New York NY,Philadelphia PA,2025-06-17 10:00,2025-06-17 14:00,Dry Van,450.00,Liftgate required,22000,Medical Supplies,8,95,
14,Houston TX,Dallas TX,2025-06-17 11:00,2025-06-17 16:00,Dry Van,750.00,,34000,Packaging Materials,20,240,
15,Atlanta GA,Charlotte NC,2025-06-18 06:00,2025-06-18 14:00,Dry Van,850.00,,30000,Textiles,18,245,
16,Dallas TX,Houston TX,2025-06-18 07:00,2025-06-18 12:00,Flatbed,700.00,,46000,Construction Materials,10,240,48x96
17,Chicago IL,Detroit MI,2025-06-18 06:00,2025-06-18 12:00,Dry Van,650.00,,38000,Auto Parts,22,280,
18,Los Angeles CA,San Francisco CA,2025-06-18 08:00,2025-06-18 18:00,Reefer,1200.00,Temperature 36F,35000,Dairy Products,14,380,
19,Kansas City MO,Chicago IL,2025-06-18 07:00,2025-06-18 16:00,Dry Van,900.00,,33000,Food & Beverage,20,510,
20,Jacksonville FL,Savannah GA,2025-06-18 09:00,2025-06-18 14:00,Dry Van,500.00,,28000,Consumer Goods,16,140,
21,Dallas TX,Memphis TN,2025-06-18 10:00,2025-06-18 20:00,Dry Van,1100.00,,36000,Electronics,18,450,
22,Phoenix AZ,Los Angeles CA,2025-06-19 06:00,2025-06-19 14:00,Dry Van,850.00,,32000,Household Goods,22,370,
23,Atlanta GA,Jacksonville FL,2025-06-19 07:00,2025-06-19 14:00,Reefer,1050.00,Temperature 32F,39000,Poultry,20,345,
24,Houston TX,New Orleans LA,2025-06-19 08:00,2025-06-19 14:00,Flatbed,800.00,,45000,Pipe & Tubing,8,350,60x96
25,Chicago IL,Minneapolis MN,2025-06-19 06:00,2025-06-19 16:00,Dry Van,1300.00,,34000,Retail Goods,24,410,
26,Laredo TX,Houston TX,2025-06-19 05:00,2025-06-19 12:00,Dry Van,900.00,Cross-border NAFTA,42000,Produce,30,320,
27,Los Angeles CA,Denver CO,2025-06-19 07:00,2025-06-20 12:00,Dry Van,2100.00,,37000,Consumer Electronics,20,1020,
28,Miami FL,Atlanta GA,2025-06-19 10:00,2025-06-20 06:00,Reefer,1650.00,Temperature 34F,38000,Tropical Fruit,22,660,
29,San Antonio TX,Laredo TX,2025-06-19 11:00,2025-06-19 15:00,Dry Van,450.00,,25000,Empty Pallets,40,155,
30,Charlotte NC,New York NY,2025-06-20 06:00,2025-06-20 22:00,Dry Van,1800.00,,36000,Furniture,14,635,
